date,time,message
06/19/2018,15:33:55,Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.
06/19/2018,15:34:06,Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.
06/19/2018,15:34:25,Weak GPS signal. Aircraft is in Attitude mode and hovering may be unstable. Fly with caution.
06/19/2018,15:34:39,Home Point recorded. Return-to-Home Altitude:98FT
06/19/2018,15:34:59,Home Point recorded. Return-to-Home Altitude:98FT
06/19/2018,15:39:36,Aircraft is close to the Home Point. Initiating Return to Home will now trigger Auto Landing.
