date,time,message
06/19/2018,14:45:08,Home Point Recorded. RTH Altitude:  30m.
06/19/2018,14:47:45,Fly with caution and ensure the aircraft remains within your line of sight.
06/19/2018,14:48:11,Fly with caution and ensure the aircraft remains within your line of sight.
06/19/2018,14:51:37,Fly with caution and ensure the aircraft remains within your line of sight.
06/19/2018,14:52:01,High wind velocity. Fly with caution and land in a safe place ASAP.
06/19/2018,14:52:17,Fly with caution and ensure the aircraft remains within your line of sight.
06/19/2018,14:52:29,Fly with caution and ensure the aircraft remains within your line of sight.
06/19/2018,14:53:29,Fly with caution and ensure the aircraft remains within your line of sight.
